Entered By,MVP,Flex1,Flex2,Flex3,Flex4,AmountWon
TJ,Patrick Mahomes,Travis Kelce,Tyreek Hill,Emmanuel Sanders,George Kittle,
TJ,Raheem Mostert,George Kittle,Patrick Mahomes,Demarcus Robinson,Tyreek Hill,
Kevin,Travis Kelce,Patrick Mahomes,Sammy Watkins,Robbie Gould,George Kittle,
Bobby,Patrick Mahomes,Emmanuel Sanders,Deebo Samuel,Travis Kelce,Jimmy Garoppolo,
Bobby,Patrick Mahomes,Emmanuel Sanders,Deebo Samuel,Raheem Mostert,Travis Kelce,
Daryle,Patrick Mahomes,Sammy Watkins,Damien Williams,Robbie Gould,Deebo Samuel,
Daryle,Sammy Watkins,Raheem Mostert,Patrick Mahomes,Jimmy Garoppolo,Mecole Hardman,
Daryle,Travis Kelce,George Kittle,Patrick Mahomes,Raheem Mostert,Demarcus Robinson,
Daryle,George Kittle,Tyreek Hill,Deebo Samuel,Damien Williams,Emmanuel Sanders,
Daryle,Damien Williams,Raheem Mostert,Harrison Butker,Robbie Gould,Jimmy Garoppolo,
Daryle,Raheem Mostert,Travis Kelce,George Kittle,Damien Williams,Deebo Samuel,
Daryle,Kendrick Bourne,Jimmy Garoppolo,Patrick Mahomes,Sammy Watkins,Tyreek Hill,
Daryle,Travis Kelce,Patrick Mahomes,Harrison Butker,Raheem Mostert,Matt Breida,
Daryle,Patrick Mahomes,George Kittle,Raheem Mostert,Kendrick Bourne,Demarcus Robinson,
Daryle,Jimmy Garoppolo,Robbie Gould,Harrison Butker,Patrick Mahomes,George Kittle,
Kevin,George Kittle,Raheem Mostert,Robbie Gould,Tyreek Hill,Kendrick Bourne,
Kevin,Patrick Mahomes,Deebo Samuel,Demarcus Robinson,Kendrick Bourne,Damien Williams,
Jonathan,Raheem Mostert,Patrick Mahomes,Sammy Watkins,Tyreek Hill,Emmanuel Sanders,
Jonathan,Tyreek Hill,Travis Kelce,Robbie Gould,Sammy Watkins,Patrick Mahomes,
Jonathan,Tyreek Hill,Damien Williams,Sammy Watkins,Patrick Mahomes,Emmanuel Sanders,
Kevin,Damien Williams,Travis Kelce,Matt Breida,Patrick Mahomes,Harrison Butker,
Kevin,Raheem Mostert,Harrison Butker,Robbie Gould,Tevin Coleman,Tyreek Hill,
Tyler,Patrick Mahomes,Tevin Coleman,Sammy Watkins,Travis Kelce,Matt Breida,
TJ,Harrison Butker,Patrick Mahomes,Travis Kelce,Raheem Mostert,Deebo Samuel,
TJ,Patrick Mahomes,Jimmy Garoppolo,Travis Kelce,George Kittle,Mecole Hardman,
TJ,Jimmy Garoppolo,Patrick Mahomes,Travis Kelce,George Kittle,Mecole Hardman,
TJ,Patrick Mahomes,Harrison Butker,Robbie Gould,Tyreek Hill,Raheem Mostert,
TJ,Raheem Mostert,Damien Williams,Patrick Mahomes,Mecole Hardman,Tevin Coleman,
TJ,Tyreek Hill,Travis Kelce,George Kittle,Raheem Mostert,Harrison Butker,
TJ,Jimmy Garoppolo,Travis Kelce,Tyreek Hill,George Kittle,Robbie Gould,
TJ,George Kittle,Tyreek Hill,Patrick Mahomes,Travis Kelce,Matt Breida,